"Row";"Part";"Footprint";"Value";"References";"Quantity Per PCB";"Description";"Status"
"1";"Conn_02x05_Odd_Even";"PinSocket_2x05_P1.27mm_Vertical_AtmelICE_WithTab";"ATMEL-ICE SAM SOCKET";"J1 J2";"2";"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";" "
"2";"Conn_02x02_Odd_Even";"PinHeader_2x02_P2.54mm_Vertical_NoSilk";"Angled Conn 1";"J3 J4 J5";"3";"Generic connector, double row, 02x02, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";" "





"Project info:"
"Schematic:";"ATMEL-ICE-Octopus-Back"
"Variant:";"default"
"Revision:";"A1"
"Date:";"2022-06-21_16-46-35"
"KiCad Version:";"(6.0.2-0)"
"Statistics:"
"Component Groups:";"2"
"Component Count:";"5"
"Fitted Components:";"5"
"Number of PCBs:";"1"
"Total Components:";"5"
