"Row";"Part";"Footprint";"Value";"References";"Quantity Per PCB";"Description";"Status"
"1";"BAT48ZFILM";"D_MiniMELF";"BAT48ZFILM";"D19 D29";"2";"40V 0.35A Small Signal Schottky Diode, SOD-123";" "
"2";"LED_Small";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";"GREEN";"D11 D26";"2";"Light emitting diode, small symbol";" "
"3";"LED_Small";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";"RED";"D12 D28";"2";"Light emitting diode, small symbol";" "
"4";"Conn_02x10_Odd_Even";"IDC-Header_2x10_P2.54mm_Vertical";"ARM Multi-ICE 20-pin JTAG";"J11";"1";"Generic connector, double row, 02x10, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";" "
"5";"Conn_02x05_Odd_Even";"PinSocket_2x05_P1.27mm_Vertical_AtmelICE_WithTab";"ATMEL-ICE SAM SOCKET";"J1 J2";"2";"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";" "
"6";"Conn_02x02_Odd_Even";"PinHeader_2x02_P2.54mm_Vertical_NoSilk";"Angled Conn 1";"J3 J4 J5";"3";"Generic connector, double row, 02x02, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";" "
"7";"Conn_01x02_Female";"PinSocket_1x02_P2.54mm_Vertical";"Conn_01x01_Female";"J8 J16";"2";"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)";" "
"8";"Conn_01x03";"PinHeader_1x03_P2.54mm_Vertical";"Conn_01x03";"J9 J21 J22 J23 J24";"5";"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)";" "
"9";"Conn_01x04";"PinHeader_1x04_P2.54mm_Vertical";"SWD";"J15";"1";"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)";" "
"10";"Conn_JTAG_02x05";"IDC-Header_2x05_P2.54mm_Vertical_Key7";"SWD/JTAG AVR";"J13";"1";"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";" "
"11";"Conn_JTAG_02x05";"IDC-Header_2x05_P2.54mm_Vertical_Key7";"SWD/JTAG SAM (ARM/Cortex-M dbg)";"J12";"1";"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";" "
"12";"Conn_02x03_Odd_Even";"IDC-Header_2x03_P2.54mm_Vertical";"aWire/(U)PDI/TPI/debugWire/SPI Target";"J14";"1";"Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";" "
"13";"Jumper_2_Open";"PinHeader_2x01_P2.54mm_Vertical";"Jumper_2_Open";"JP1 JP2";"2";"Jumper, 2-pole, open";" "
"14";"BC846";"SOT-23";"BC846";"Q13 Q14 Q15 Q17 Q23 Q24 Q25 Q27";"8";"0.1A Ic, 65V Vce, NPN Transistor, SOT-23";" "
"15";"Q_PMOS_FDV304P";"SOT-23";"Q_PMOS_FDV304P";"Q19 Q29";"2";"P-MOSFET transistor, gate/source/drain";" "
"16";"R";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";"28 Ω";"R33 R36 R43 R46";"4";"Resistor";" "
"17";"R";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";"220 Ω";"R39 R49";"2";"Resistor";" "
"18";"R";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";"470 Ω";"R32 R35 R42 R45";"4";"Resistor";" "
"19";"R";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";"1 kΩ";"R16 R18 R26 R28";"4";"Resistor";" "
"20";"R";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";"1.8 kΩ";"R38 R48";"2";"Resistor";" "
"21";"R";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";"12 kΩ";"R31 R41";"2";"Resistor";" "
"22";"R";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";"18 kΩ";"R37 R47";"2";"Resistor";" "
"23";"R";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";"22 kΩ";"R15 R17 R25 R27 R34 R44";"6";"Resistor";" "
"24";"R";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";"47 kΩ";"R13 R14 R19 R23 R24 R29";"6";"Resistor";" "
"25";"R";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";"100 kΩ";"R11 R12 R21 R22";"4";"Resistor";" "
"26";"SGM708";"SO-8_3.9x4.9mm_P1.27mm";"SGM708";"U11 U21";"2";"Supply-Voltage Supervisors, 2.53V, PDIP-8/SOIC-8";" "
"27";"TPS2049D";"SO-8_3.9x4.9mm_P1.27mm";"TPS2049D";"U12 U22";"2";"Single power-distribution switcher";" "





"Project info:"
"Schematic:";"ATMEL-ICE-Octopus"
"Variant:";"default"
"Revision:";"A1"
"Date:";"2022-06-21_16-33-38"
"KiCad Version:";"(6.0.2-0)"
"Statistics:"
"Component Groups:";"27"
"Component Count:";"75"
"Fitted Components:";"75"
"Number of PCBs:";"1"
"Total Components:";"75"
